EmployeeID,Department,JobRole,OverTime,JobSatisfaction,YearsAtCompany,MonthlyIncome,WorkLifeBalance,Attrition
E0000,Research,Manager,No,3,12,6888,3,No
E0001,Sales,Engineer,Yes,4,12,9311,4,No
E0002,IT,Advisor,No,1,7,4142,4,No
E0003,Sales,Engineer,Yes,2,8,8266,3,No
E0004,Operations,Support,Yes,1,14,9320,1,Yes
E0005,Research,Support,Yes,4,0,6514,1,Yes
E0006,Sales,Manager,No,4,4,8588,2,No
E0007,Operations,Advisor,No,1,12,3245,1,Yes
E0008,IT,Manager,No,1,13,8878,1,No
E0009,Operations,Support,No,2,1,6486,1,No
E0010,IT,Manager,Yes,4,16,3883,4,No
E0011,HR,Manager,No,2,11,2668,3,Yes
E0012,Operations,Advisor,No,2,4,7671,3,Yes
E0013,Sales,Advisor,No,2,15,5474,4,Yes
E0014,IT,Analyst,Yes,3,20,4556,2,Yes
E0015,Operations,Engineer,Yes,2,8,5165,2,No
E0016,Research,Manager,No,1,5,9731,1,Yes
E0017,Research,Advisor,No,4,6,5451,2,No
E0018,Operations,Engineer,No,2,12,2798,1,Yes
E0019,Sales,Support,No,2,0,4326,3,Yes
E0020,IT,Support,No,3,10,3304,4,No
E0021,Research,Advisor,No,3,0,7412,3,No
E0022,Sales,Advisor,Yes,1,0,8283,2,Yes
E0023,Research,Support,Yes,1,9,8591,3,No
E0024,IT,Analyst,Yes,1,15,7009,4,No
E0025,Research,Advisor,No,4,18,8040,2,No
E0026,HR,Advisor,No,3,1,5371,2,Yes
E0027,IT,Analyst,No,4,5,6970,3,No
E0028,Sales,Support,No,3,8,3013,1,No
E0029,Operations,Advisor,No,2,12,6291,4,No
E0030,Research,Manager,No,3,20,6436,2,Yes
E0031,Operations,Engineer,No,3,14,2436,2,No
E0032,Sales,Engineer,Yes,2,11,6367,3,Yes
E0033,Sales,Support,No,4,1,7694,1,Yes
E0034,Operations,Support,No,4,1,4993,1,No
E0035,IT,Support,No,4,3,6341,1,No
E0036,IT,Advisor,Yes,4,13,4374,2,No
E0037,Operations,Analyst,No,2,6,4257,3,Yes
E0038,HR,Support,No,1,5,3184,1,No
E0039,Sales,Analyst,No,2,14,4691,2,Yes
