TicketID,CreatedDate,ServiceArea,Priority,Status,ResolutionTimeHours,SLABreach,AssignedTeam
T00000,2025-03-01 00:00:00,Platform,High,Open,33.99,Yes,Team C
T00001,2025-03-01 12:00:00,Security,Low,In Progress,23.92,Yes,Team C
T00002,2025-03-02 00:00:00,Network,Medium,Closed,2.96,No,Team A
T00003,2025-03-02 12:00:00,Network,Low,In Progress,5.66,No,Team C
T00004,2025-03-03 00:00:00,Security,High,Resolved,14.48,No,Team C
T00005,2025-03-03 12:00:00,Platform,Low,Closed,24.96,Yes,Team A
T00006,2025-03-04 00:00:00,IoT,Low,Resolved,7.93,No,Team C
T00007,2025-03-04 12:00:00,Platform,High,In Progress,15.79,No,Team B
T00008,2025-03-05 00:00:00,Data,Medium,In Progress,12.77,No,Team A
T00009,2025-03-05 12:00:00,IoT,Low,Resolved,24.76,Yes,Team A
T00010,2025-03-06 00:00:00,Data,Low,Resolved,5.02,No,Team B
T00011,2025-03-06 12:00:00,Platform,Medium,Open,10.44,No,Team A
T00012,2025-03-07 00:00:00,Network,Low,Resolved,15.82,No,Team C
T00013,2025-03-07 12:00:00,Platform,Low,Resolved,4.44,No,Team C
T00014,2025-03-08 00:00:00,Platform,Medium,In Progress,12.06,No,Team C
T00015,2025-03-08 12:00:00,Platform,Low,Resolved,10.78,No,Team B
T00016,2025-03-09 00:00:00,IoT,Medium,Open,21.22,Yes,Team B
T00017,2025-03-09 12:00:00,IoT,Medium,In Progress,19.45,Yes,Team C
T00018,2025-03-10 00:00:00,Platform,Low,Closed,23.15,Yes,Team C
T00019,2025-03-10 12:00:00,Network,Low,In Progress,14.06,No,Team A
T00020,2025-03-11 00:00:00,Network,Low,Resolved,22.29,Yes,Team B
T00021,2025-03-11 12:00:00,Security,Low,Resolved,5.27,No,Team C
T00022,2025-03-12 00:00:00,Platform,Low,In Progress,16.2,No,Team C
T00023,2025-03-12 12:00:00,IoT,High,Closed,10.57,No,Team C
T00024,2025-03-13 00:00:00,Data,High,In Progress,6.33,No,Team A
T00025,2025-03-13 12:00:00,Security,Medium,In Progress,5.06,No,Team B
T00026,2025-03-14 00:00:00,IoT,Medium,Closed,7.45,No,Team A
T00027,2025-03-14 12:00:00,IoT,Medium,Resolved,6.07,No,Team C
T00028,2025-03-15 00:00:00,Data,High,Resolved,38.92,Yes,Team B
T00029,2025-03-15 12:00:00,IoT,Low,Open,14.36,No,Team A
T00030,2025-03-16 00:00:00,Security,Low,Open,19.64,Yes,Team A
T00031,2025-03-16 12:00:00,Platform,Low,Resolved,5.68,No,Team C
T00032,2025-03-17 00:00:00,Security,Low,In Progress,1.92,No,Team C
T00033,2025-03-17 12:00:00,Network,Low,In Progress,38.09,Yes,Team C
T00034,2025-03-18 00:00:00,IoT,High,Closed,5.25,No,Team C
T00035,2025-03-18 12:00:00,Platform,High,In Progress,9.3,No,Team C
T00036,2025-03-19 00:00:00,Security,Low,Open,17.16,No,Team C
T00037,2025-03-19 12:00:00,IoT,Medium,Open,7.66,No,Team C
T00038,2025-03-20 00:00:00,IoT,Medium,Resolved,12.26,No,Team C
T00039,2025-03-20 12:00:00,Security,Medium,Resolved,4.35,No,Team B
T00040,2025-03-21 00:00:00,IoT,Medium,Closed,14.22,No,Team C
T00041,2025-03-21 12:00:00,Network,Low,Open,3.15,No,Team C
T00042,2025-03-22 00:00:00,IoT,High,In Progress,10.85,No,Team A
T00043,2025-03-22 12:00:00,Platform,Critical,Resolved,24.46,Yes,Team C
T00044,2025-03-23 00:00:00,Platform,Medium,In Progress,6.32,No,Team B
T00045,2025-03-23 12:00:00,Platform,Medium,Resolved,12.88,No,Team A
T00046,2025-03-24 00:00:00,IoT,Medium,Closed,35.12,Yes,Team A
T00047,2025-03-24 12:00:00,Network,Low,Resolved,15.0,No,Team A
T00048,2025-03-25 00:00:00,Network,Low,Resolved,13.61,No,Team C
T00049,2025-03-25 12:00:00,Platform,Medium,Closed,19.44,Yes,Team C
T00050,2025-03-26 00:00:00,Data,Low,Open,10.67,No,Team A
T00051,2025-03-26 12:00:00,Network,High,Closed,10.51,No,Team B
T00052,2025-03-27 00:00:00,Platform,Medium,Resolved,22.56,Yes,Team B
T00053,2025-03-27 12:00:00,Security,Medium,Resolved,18.9,Yes,Team B
T00054,2025-03-28 00:00:00,Data,Low,Closed,5.36,No,Team B
T00055,2025-03-28 12:00:00,IoT,Critical,Resolved,16.92,No,Team C
T00056,2025-03-29 00:00:00,Data,Low,Resolved,15.09,No,Team B
T00057,2025-03-29 12:00:00,Security,Low,In Progress,2.57,No,Team B
T00058,2025-03-30 00:00:00,Network,Low,Resolved,15.05,No,Team B
T00059,2025-03-30 12:00:00,IoT,Medium,Resolved,13.86,No,Team B
T00060,2025-03-31 00:00:00,Data,Critical,In Progress,11.68,No,Team C
T00061,2025-03-31 12:00:00,Data,Low,Resolved,31.3,Yes,Team B
T00062,2025-04-01 00:00:00,IoT,High,Resolved,12.1,No,Team C
T00063,2025-04-01 12:00:00,Security,Low,In Progress,7.52,No,Team B
T00064,2025-04-02 00:00:00,Platform,Medium,Open,20.11,Yes,Team C
T00065,2025-04-02 12:00:00,Security,Low,Resolved,22.77,Yes,Team C
T00066,2025-04-03 00:00:00,IoT,Medium,Open,4.64,No,Team C
T00067,2025-04-03 12:00:00,Network,Medium,Open,9.86,No,Team B
T00068,2025-04-04 00:00:00,Network,Medium,Resolved,1.76,No,Team B
T00069,2025-04-04 12:00:00,Network,Low,Open,19.36,Yes,Team B
T00070,2025-04-05 00:00:00,Data,High,In Progress,14.77,No,Team B
T00071,2025-04-05 12:00:00,Network,Critical,Resolved,10.95,No,Team C
T00072,2025-04-06 00:00:00,Platform,Medium,In Progress,5.99,No,Team C
T00073,2025-04-06 12:00:00,Data,Medium,Closed,4.28,No,Team C
T00074,2025-04-07 00:00:00,Platform,High,Closed,9.71,No,Team C
T00075,2025-04-07 12:00:00,Platform,Low,Resolved,1.95,No,Team C
T00076,2025-04-08 00:00:00,IoT,High,Closed,30.64,Yes,Team B
T00077,2025-04-08 12:00:00,IoT,Low,Closed,4.8,No,Team A
T00078,2025-04-09 00:00:00,Platform,High,In Progress,15.18,No,Team B
T00079,2025-04-09 12:00:00,Platform,Low,Resolved,15.0,No,Team C
