OrderID,OrderDate,Product,Region,Quantity,UnitPrice,Discount,Revenue,Profit,Returned
O00000,2025-01-01,Laptop,North,6,1171.13,0.05,6675.44,1192.76,No
O00001,2025-01-02,Monitor,West,3,217.85,0.1,588.19,139.73,No
O00002,2025-01-03,Tablet,North,6,1208.85,0.2,5802.48,1962.33,No
O00003,2025-01-04,Support,North,3,386.59,0.0,1159.77,240.89,No
O00004,2025-01-05,Phone,East,6,67.36,0.2,323.33,103.92,No
O00005,2025-01-06,Monitor,East,1,1184.11,0.15,1006.49,349.25,No
O00006,2025-01-07,Tablet,North,1,97.91,0.15,83.22,26.73,No
O00007,2025-01-08,Monitor,South,6,222.31,0.15,1133.78,179.31,No
O00008,2025-01-09,Support,East,6,1178.27,0.0,7069.62,2181.13,No
O00009,2025-01-10,Software,South,7,1197.31,0.15,7123.99,907.56,Yes
O00010,2025-01-11,Tablet,South,3,1212.5,0.05,3455.62,727.27,No
O00011,2025-01-12,Tablet,North,1,351.37,0.1,316.23,101.28,No
O00012,2025-01-13,Software,South,7,819.68,0.15,4877.1,1357.85,No
O00013,2025-01-14,Tablet,West,5,175.35,0.15,745.24,180.74,No
O00014,2025-01-15,Phone,East,2,805.64,0.05,1530.72,320.24,No
O00015,2025-01-16,Tablet,West,6,403.93,0.05,2302.4,706.44,No
O00016,2025-01-17,Laptop,North,7,120.69,0.1,760.35,215.33,No
O00017,2025-01-18,Phone,North,2,410.02,0.0,820.04,186.75,No
O00018,2025-01-19,Tablet,East,6,351.45,0.15,1792.39,583.01,No
O00019,2025-01-20,Software,North,6,183.3,0.0,1099.8,190.14,No
O00020,2025-01-21,Software,East,4,201.76,0.1,726.34,115.63,No
O00021,2025-01-22,Phone,West,5,395.1,0.15,1679.18,449.76,No
O00022,2025-01-23,Tablet,South,2,108.55,0.0,217.1,74.59,No
O00023,2025-01-24,Laptop,East,7,114.79,0.2,642.82,113.69,No
O00024,2025-01-25,Software,East,7,811.17,0.05,5394.28,957.08,No
O00025,2025-01-26,Phone,North,7,194.71,0.0,1362.97,207.29,No
O00026,2025-01-27,Software,West,6,762.07,0.15,3886.56,1235.65,No
O00027,2025-01-28,Support,North,1,389.89,0.1,350.9,60.38,No
O00028,2025-01-29,Software,West,3,407.33,0.15,1038.69,244.85,No
O00029,2025-01-30,Phone,East,4,377.19,0.15,1282.45,446.17,No
O00030,2025-01-31,Support,North,7,411.63,0.1,2593.27,318.43,No
O00031,2025-02-01,Software,East,4,1217.17,0.2,3894.94,965.91,No
O00032,2025-02-02,Monitor,North,4,1201.54,0.05,4565.85,1085.88,No
O00033,2025-02-03,Support,East,2,137.72,0.1,247.9,75.79,No
O00034,2025-02-04,Support,West,6,773.44,0.0,4640.64,936.09,No
